community_url,label_old,member_count,Id,type,label_2,label,label_edited_count,longitude,latitude,cluster_id,cluster_size
mamafit,Mamafit,44.0,mamafit_co-occurrence,community,Mamafit (44),Mamafit,Mamafit (44),30,-32.0,,
partnersforbehcets,Partners for Behcet's,43.0,partnersforbehcets_co-occurrence,community,Partners for Behcet's (43),Partners for Behcet's (Autoimmune),Partners for Behcet's (Autoimmune) (43),30,-33.0,,
downs-support,Down's Syndrome Support,43.0,downs-support_co-occurrence,community,Down's Syndrome Support (43),Down's Syndrome,Down's Syndrome (43),30,-34.0,,
cancer-journeys-foundation,Cancer Journeys Foundation,42.0,cancer-journeys-foundation_co-occurrence,community,Cancer Journeys Foundation (42),Cancer Journeys,Cancer Journeys (42),30,-35.0,,
livernorth,LIVErNORTH,41.0,livernorth_co-occurrence,community,LIVErNORTH (41),LIVErNORTH,LIVErNORTH (41),30,-36.0,,
mydirectives,MyDirectives: Make your medical wishes known!,40.0,mydirectives_co-occurrence,community,MyDirectives: Make your medical wishes known! (40),MyDirectives: Make your medical wishes known!,MyDirectives: Make your medical wishes known! (40),30,-37.0,,
pseudomyxoma-survivor,Pseudomyxoma Survivor,40.0,pseudomyxoma-survivor_co-occurrence,community,Pseudomyxoma Survivor (40),Pseudomyxoma Survivor,Pseudomyxoma Survivor (40),30,-38.0,,
cookforyourlife,Cook For Your Life,29.0,cookforyourlife_co-occurrence,community,Cook For Your Life (29),Cook For Your Life,Cook For Your Life (29),30,-39.0,,
dc-action,DC Action,21.0,dc-action_co-occurrence,community,DC Action (21),Dyskeratosis Congenita (Rare Genetic),Dyskeratosis Congenita (Rare Genetic) (21),30,-40.0,,
apma,Australian Pain Management Association,20.0,apma_co-occurrence,community,Australian Pain Management Association (20),Australian Pain Management Association,Australian Pain Management Association (20),30,-41.0,,
crohnscolitis,Crohn's & Colitis,6.0,crohnscolitis_co-occurrence,community,Crohn's & Colitis (6),Crohn's & Colitis,Crohn's & Colitis (6),30,-42.0,,
barretts-oesophagus,Barrett's Oesophagus,5.0,barretts-oesophagus_co-occurrence,community,Barrett's Oesophagus (5),Barrett's Oesophagus,Barrett's Oesophagus (5),30,-43.0,,
,,,Medications & Treatment Monitoring,cluster,Medications (338),Medications,,0,41.0,Medications,338.0
,,,Cancer & Oncology,cluster,Cancer (274),Cancer,,0,37.18181818181818,Cancer,274.0
,,,Neurological Disorders,cluster,Neurological (249),Neurological,,0,33.36363636363636,Neurological,249.0
,,,Pain & Musculoskeletal Conditions,cluster,Pain (216),Pain,,0,29.545454545454547,Pain,216.0
,,,Mental Health & Emotional Wellbeing,cluster,Mental (201),Mental,,0,25.727272727272727,Mental,201.0
,,,Digestive Health (Gastrointestinal Conditions),cluster,Digestive (196),Digestive,,0,21.909090909090907,Digestive,196.0
,,,Cardiovascular Diseases,cluster,Cardiovascular (207),Cardiovascular,,0,18.09090909090909,Cardiovascular,207.0
,,,Reproductive & Sexual Health (Women's Health & Men's Health),cluster,Reproductive (171),Reproductive,,0,14.272727272727272,Reproductive,171.0
,,,"Lifestyle, Diet & Supplements",cluster,Lifestyle (162),Lifestyle,,0,10.454545454545451,Lifestyle,162.0
,,,Metabolic & Endocrine Disorders,cluster,Metabolic (152),Metabolic,,0,6.636363636363633,Metabolic,152.0
,,,Respiratory Conditions & Treatments,cluster,Respiratory (125),Respiratory,,0,2.818181818181813,Respiratory,125.0
,,,Dermatology & Skin-Related,cluster,Dermatology (113),Dermatology,,0,-1.0,Dermatology,113.0
,,,Autoimmune Diseases,cluster,Autoimmune (112),Autoimmune,,0,-4.81818181818182,Autoimmune,112.0
,,,Eye & Vision Health,cluster,Vision (87),Vision,,0,-8.63636363636364,Vision,87.0
,,,Renal & Liver Diseases,cluster,Renal/Liver (76),Renal/Liver,,0,-12.454545454545451,Renal/Liver,76.0
,,,Infectious & Communicable Diseases,cluster,Infectious (72),Infectious,,0,-16.272727272727273,Infectious,72.0
,,,Hematology & Blood Disorders,cluster,Hematology (44),Hematology,,0,-20.090909090909093,Hematology,44.0
,,,Preventive Health & Screening,cluster,Preventive (42),Preventive,,0,-23.909090909090907,Preventive,42.0
,,,Allergy & Immunology,cluster,Allergy (37),Allergy,,0,-27.727272727272734,Allergy,37.0
,,,Substance Abuse & Addiction,cluster,Addiction (31),Addiction,,0,-31.545454545454547,Addiction,31.0
,,,"Procedures, Surgeries & Medical Devices",cluster,Procedures (29),Procedures,,0,-35.363636363636374,Procedures,29.0
,,,Rare Diseases & Genetic Disorders,cluster,Rare Diseases (17),Rare Diseases,,0,-39.18181818181819,Rare Diseases,17.0
,,,Patient Support & Education,cluster,Patient Support (14),Patient Support,,0,-43.0,Patient Support,14.0
